K,raw,log
1,78298.5414390447,23267.70670673336
2,48234.69374470653,13845.972219789872
3,18768.449729020656,-364.93718325010474
4,17942.405580979113,-36337.355192536066
5,17905.18074126828,-36522.658793392446
6,17879.546414828957,-36527.829575671625
7,17865.3417422201,-36856.063170345195
8,17791.375468872815,-36816.393547639236
9,16608.41124908173,-36925.048504902385
10,16607.75257095614,-36935.1119963341
11,16452.923898447832,-36942.080858806
12,16434.10266792387,-36954.816407489205
13,16415.99390641153,-36963.79815260619
14,16411.658802148497,-36966.78371103456
15,16410.06027155295,-36976.1122944047
16,16403.45444726522,-36972.103741943196
17,16404.337036469296,-36975.22897580928
18,16403.509381855496,-36978.70434881383
19,16377.702939218814,-36977.43179299522
20,16375.322806574439,-37405.6417380345
21,16365.644046689784,-37086.043470725366
22,16365.217474652929,-37096.2688360961
23,-29196.18670243374,-37115.806258653276
24,-29200.39982453764,-37119.26645032047
25,-29204.10689474988,-37455.32675692058
26,-29207.985515224518,-37460.98622243011
27,-29213.332681404194,-37468.927412242665
28,-29216.75668176467,-37466.41436108798
29,-29222.28095087583,-37470.31798372762
30,-29231.172375510054,-37475.698371077844
31,-29237.477086162053,-37491.49537502449
32,-29237.84268236918,-37497.570052877934
33,-29241.04956971774,-37506.22753605594
34,-29244.51312454005,-37512.06867392949
35,-29253.1971331544,-37513.84371317751
36,-29264.055940910497,-37514.2711449868
37,-29283.369566154746,-37514.88558409072
38,-29291.121154251905,-37515.97760414793
39,-29298.2379569333,-37523.75759854497
40,-29302.174994669742,-37520.90386221692
41,-29324.558105584343,-37532.83174337225
42,-29317.306198806556,-37533.02799562414
43,-29310.322023070265,-37535.02435081009
44,-29320.2206780237,-37540.881893305166
45,-29326.694574627203,-37547.50552302845
46,-29333.7997445678,-37547.29960081855
47,-29336.215018859126,-37564.3214869715
48,-29334.64214390529,-37569.41649721435
49,-29341.347353614045,-37580.01894494537
50,-29343.7333587428,-37581.800131325406
